nomEtude, complement1, complement2, nomPays, codePays, donnees2018
Time required to start a business, female (days),IC.REG.DURS.FE,Afghanistan,AFG,9
Time required to start a business, female (days),IC.REG.DURS.FE,Albania,ALB,5
Time required to start a business, female (days),IC.REG.DURS.FE,Algeria,DZA,17.5
Time required to start a business, female (days),IC.REG.DURS.FE,American Samoa,ASM,..
Time required to start a business, female (days),IC.REG.DURS.FE,Andorra,AND,..
Time required to start a business, female (days),IC.REG.DURS.FE,Angola,AGO,36
Time required to start a business, female (days),IC.REG.DURS.FE,Antigua and Barbuda,ATG,22
Time required to start a business, female (days),IC.REG.DURS.FE,Arab World,ARB,21
Time required to start a business, female (days),IC.REG.DURS.FE,Argentina,ARG,11
Time required to start a business, female (days),IC.REG.DURS.FE,Armenia,ARM,3.5
Time required to start a business, female (days),IC.REG.DURS.FE,Aruba,ABW,..
Time required to start a business, female (days),IC.REG.DURS.FE,Australia,AUS,2.5
Time required to start a business, female (days),IC.REG.DURS.FE,Austria,AUT,21
Time required to start a business, female (days),IC.REG.DURS.FE,Azerbaijan,AZE,3.5
"Time required to start a business, female (days),IC.REG.DURS.FE,""Bahamas, The"",BHS,21.5"
Time required to start a business, female (days),IC.REG.DURS.FE,Bahrain,BHR,9
Time required to start a business, female (days),IC.REG.DURS.FE,Bangladesh,BGD,19.5
Time required to start a business, female (days),IC.REG.DURS.FE,Barbados,BRB,15
Time required to start a business, female (days),IC.REG.DURS.FE,Belarus,BLR,9
Time required to start a business, female (days),IC.REG.DURS.FE,Belgium,BEL,4
Time required to start a business, female (days),IC.REG.DURS.FE,Belize,BLZ,43
Time required to start a business, female (days),IC.REG.DURS.FE,Benin,BEN,9
Time required to start a business, female (days),IC.REG.DURS.FE,Bermuda,BMU,..
Time required to start a business, female (days),IC.REG.DURS.FE,Bhutan,BTN,12
Time required to start a business, female (days),IC.REG.DURS.FE,Bolivia,BOL,43.5
Time required to start a business, female (days),IC.REG.DURS.FE,Bosnia and Herzegovina,BIH,81
Time required to start a business, female (days),IC.REG.DURS.FE,Botswana,BWA,48
Time required to start a business, female (days),IC.REG.DURS.FE,Brazil,BRA,20.5
