nomEtude, complement1, complement2, nomPays, codePays, donnees2017
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Afghanistan,AFG,65.4
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Albania,ALB,80.6
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Algeria,DZA,77.6
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,American Samoa,ASM,..
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Andorra,AND,..
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Angola,AGO,64.7
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Antigua and Barbuda,ATG,78.9
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Arab World,ARB,73.3
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Argentina,ARG,80.4
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Armenia,ARM,77.8
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Aruba,ABW,78.4
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Australia,AUS,84.7
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Austria,AUT,84.1
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Azerbaijan,AZE,75.2
"Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,""Bahamas, The"",BHS,78.8"
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Bahrain,BHR,78.1
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Bangladesh,BGD,74.6
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Barbados,BRB,78.4
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Belarus,BLR,79.2
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Belgium,BEL,84
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Belize,BLZ,73.6
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Benin,BEN,62.7
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Bermuda,BMU,85.3
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Bhutan,BTN,70.9
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Bolivia,BOL,72
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Bosnia and Herzegovina,BIH,79.6
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Botswana,BWA,70.2
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Brazil,BRA,79.3
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,British Virgin Islands,VGB,..
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Brunei Darussalam,BRN,79
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Bulgaria,BGR,78.5
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Burkina Faso,BFA,61.4
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Burundi,BDI,59.9
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Cabo Verde,CPV,74.9
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Cambodia,KHM,71.3
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Cameroon,CMR,59.7
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Canada,CAN,84.4
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Caribbean small states,CSS,76.1
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Cayman Islands,CYM,..
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Central African Republic,CAF,54.8
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Central Europe and the Baltics,CEB,80.9
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Chad,TCD,54.5
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Channel Islands,CHI,82.9
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Chile,CHL,82
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,China,CHN,77.9
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Colombia,COL,78.1
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Comoros,COM,65.7
"Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,""Congo, Dem. Rep."",COD,61.5"
"Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,""Congo, Rep."",COG,66.7"
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Costa Rica,CRI,82.4
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Cote d'Ivoire,CIV,55.7
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Croatia,HRV,80.9
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Cuba,CUB,81.9
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Curacao,CUW,81.5
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Cyprus,CYP,82.8
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Czech Republic,CZE,82.6
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Denmark,DNK,82.9
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Djibouti,DJI,64.3
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Dominica,DMA,..
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Dominican Republic,DOM,77.3
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Early-demographic dividend,EAR,72
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,East Asia & Pacific,EAS,77.7
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,East Asia & Pacific (excluding high income),EAP,76.7
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,East Asia & Pacific (IDA & IBRD),TEA,76.7
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Ecuador,ECU,79.3
"Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,""Egypt, Arab Rep."",EGY,73.9"
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,El Salvador,SLV,78.1
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Equatorial Guinea,GNQ,59.4
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Eritrea,ERI,67.7
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Estonia,EST,82.2
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Eswatini,SWZ,61.3
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Ethiopia,ETH,67.8
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Euro area,EMU,84.7
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Europe & Central Asia,ECS,80.9
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Europe & Central Asia (excluding high income),ECA,77.4
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Europe & Central Asia (IDA & IBRD),TEC,77.8
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,European Union,EUU,83.8
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Faroe Islands,FRO,84.5
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Fiji,FJI,73.6
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Finland,FIN,84.4
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Fragile and conflict affected situations,FCS,64.7
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,France,FRA,85.7
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,French Polynesia,PYF,79.4
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Gabon,GAB,68.2
"Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,""Gambia, The"",GMB,62.8"
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Georgia,GEO,77.6
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Germany,DEU,83.5
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Ghana,GHA,64
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Gibraltar,GIB,..
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Greece,GRC,84
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Greenland,GRL,..
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Grenada,GRD,76.3
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Guam,GUM,82.2
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Guatemala,GTM,76.8
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Guinea,GIN,61.1
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Guinea-Bissau,GNB,59.5
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Guyana,GUY,69.2
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Haiti,HTI,65.8
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Heavily indebted poor countries (HIPC),HPC,64.1
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,High income,HIC,83.3
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Honduras,HND,76.3
"Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,""Hong Kong SAR, China"",HKG,87.6"
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Hungary,HUN,79.7
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,IBRD only,IBD,75.3
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Iceland,ISL,84.1
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,IDA & IBRD total,IBT,72.8
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,IDA blend,IDB,63.2
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,IDA only,IDX,66.7
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,IDA total,IDA,65.6
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,India,IND,70.4
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Indonesia,IDN,71.6
"Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,""Iran, Islamic Rep."",IRN,77.3"
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Iraq,IRQ,72.3
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Ireland,IRL,83.8
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Isle of Man,IMN,..
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Israel,ISR,84.6
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Italy,ITA,85.6
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Jamaica,JAM,78.5
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Japan,JPN,87.2
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Jordan,JOR,76.3
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Kazakhstan,KAZ,76.9
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Kenya,KEN,69.7
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Kiribati,KIR,69.8
"Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,""Korea, Dem. People's Rep."",PRK,75.3"
"Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,""Korea, Rep."",KOR,85.7"
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Kosovo,XKX,74.2
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Kuwait,KWT,76.1
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Kyrgyz Republic,KGZ,75.4
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Lao PDR,LAO,68.6
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Late-demographic dividend,LTE,78.4
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Latin America & Caribbean,LCN,78.9
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Latin America & Caribbean (excluding high income),LAC,78.6
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Latin America & Caribbean (IDA & IBRD),TLA,78.8
Life expectancy at birth, female (years),SP.DYN.LE00.FE.IN,Latvia,LVA,79.7
