nomEtude, complement1, complement2, sujets, code,nomPays,codePays,donnees2016
Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age),SH.ALC.PCAP.MA.LI,Afghanistan,AFG,0.4
Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age),SH.ALC.PCAP.MA.LI,Albania,ALB,12.5
Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age),SH.ALC.PCAP.MA.LI,Algeria,DZA,1.7
Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age),SH.ALC.PCAP.MA.LI,American Samoa,ASM,..
Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age),SH.ALC.PCAP.MA.LI,Andorra,AND,18
Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age),SH.ALC.PCAP.MA.LI,Angola,AGO,10.7
Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age),SH.ALC.PCAP.MA.LI,Antigua and Barbuda,ATG,12.2
Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age),SH.ALC.PCAP.MA.LI,Arab World,ARB,1.08482445208267
Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age),SH.ALC.PCAP.MA.LI,Argentina,ARG,16.1
Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age),SH.ALC.PCAP.MA.LI,Armenia,ARM,10.4
Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age),SH.ALC.PCAP.MA.LI,Aruba,ABW,..
Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age),SH.ALC.PCAP.MA.LI,Australia,AUS,16.7
Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age),SH.ALC.PCAP.MA.LI,Austria,AUT,18.5
Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age),SH.ALC.PCAP.MA.LI,Azerbaijan,AZE,1.5
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age),SH.ALC.PCAP.MA.LI,""Bahamas, The"",BHS,7.6"
Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age),SH.ALC.PCAP.MA.LI,Bahrain,BHR,2.8
Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age),SH.ALC.PCAP.MA.LI,Bangladesh,BGD,0
Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age),SH.ALC.PCAP.MA.LI,Barbados,BRB,16.6
Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age),SH.ALC.PCAP.MA.LI,Belarus,BLR,18
Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age),SH.ALC.PCAP.MA.LI,Belgium,BEL,19.4
Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age),SH.ALC.PCAP.MA.LI,Belize,BLZ,11.4
Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age),SH.ALC.PCAP.MA.LI,Benin,BEN,5.3
Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age),SH.ALC.PCAP.MA.LI,Bermuda,BMU,..
Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age),SH.ALC.PCAP.MA.LI,Bhutan,BTN,0.9
