nomEtude, complement1, complement2, nomPays, codePays, donnees2018
Time required to start a business, male (days),IC.REG.DURS.MA,Afghanistan,AFG,8
Time required to start a business, male (days),IC.REG.DURS.MA,Albania,ALB,5
Time required to start a business, male (days),IC.REG.DURS.MA,Algeria,DZA,17.5
Time required to start a business, male (days),IC.REG.DURS.MA,American Samoa,ASM,..
Time required to start a business, male (days),IC.REG.DURS.MA,Andorra,AND,..
Time required to start a business, male (days),IC.REG.DURS.MA,Angola,AGO,36
Time required to start a business, male (days),IC.REG.DURS.MA,Antigua and Barbuda,ATG,22
Time required to start a business, male (days),IC.REG.DURS.MA,Arab World,ARB,20.3
Time required to start a business, male (days),IC.REG.DURS.MA,Argentina,ARG,11
Time required to start a business, male (days),IC.REG.DURS.MA,Armenia,ARM,3.5
Time required to start a business, male (days),IC.REG.DURS.MA,Aruba,ABW,..
Time required to start a business, male (days),IC.REG.DURS.MA,Australia,AUS,2.5
Time required to start a business, male (days),IC.REG.DURS.MA,Austria,AUT,21
Time required to start a business, male (days),IC.REG.DURS.MA,Azerbaijan,AZE,3.5
"Time required to start a business, male (days),IC.REG.DURS.MA,""Bahamas, The"",BHS,21.5"
Time required to start a business, male (days),IC.REG.DURS.MA,Bahrain,BHR,8
Time required to start a business, male (days),IC.REG.DURS.MA,Bangladesh,BGD,19.5
Time required to start a business, male (days),IC.REG.DURS.MA,Barbados,BRB,15
Time required to start a business, male (days),IC.REG.DURS.MA,Belarus,BLR,9
Time required to start a business, male (days),IC.REG.DURS.MA,Belgium,BEL,4
Time required to start a business, male (days),IC.REG.DURS.MA,Belize,BLZ,43
Time required to start a business, male (days),IC.REG.DURS.MA,Benin,BEN,8
Time required to start a business, male (days),IC.REG.DURS.MA,Bermuda,BMU,..
Time required to start a business, male (days),IC.REG.DURS.MA,Bhutan,BTN,12
Time required to start a business, male (days),IC.REG.DURS.MA,Bolivia,BOL,43.5
Time required to start a business, male (days),IC.REG.DURS.MA,Bosnia and Herzegovina,BIH,81
Time required to start a business, male (days),IC.REG.DURS.MA,Botswana,BWA,48
Time required to start a business, male (days),IC.REG.DURS.MA,Brazil,BRA,20.5
Time required to start a business, male (days),IC.REG.DURS.MA,British Virgin Islands,VGB,..
Time required to start a business, male (days),IC.REG.DURS.MA,Brunei Darussalam,BRN,5
Time required to start a business, male (days),IC.REG.DURS.MA,Bulgaria,BGR,23
Time required to start a business, male (days),IC.REG.DURS.MA,Burkina Faso,BFA,13
Time required to start a business, male (days),IC.REG.DURS.MA,Burundi,BDI,4
Time required to start a business, male (days),IC.REG.DURS.MA,Cabo Verde,CPV,18
Time required to start a business, male (days),IC.REG.DURS.MA,Cambodia,KHM,99
Time required to start a business, male (days),IC.REG.DURS.MA,Cameroon,CMR,13
Time required to start a business, male (days),IC.REG.DURS.MA,Canada,CAN,1.5
Time required to start a business, male (days),IC.REG.DURS.MA,Caribbean small states,CSS,20.4
Time required to start a business, male (days),IC.REG.DURS.MA,Cayman Islands,CYM,..
Time required to start a business, male (days),IC.REG.DURS.MA,Central African Republic,CAF,22
Time required to start a business, male (days),IC.REG.DURS.MA,Central Europe and the Baltics,CEB,18
Time required to start a business, male (days),IC.REG.DURS.MA,Chad,TCD,58
Time required to start a business, male (days),IC.REG.DURS.MA,Channel Islands,CHI,..
Time required to start a business, male (days),IC.REG.DURS.MA,Chile,CHL,6
Time required to start a business, male (days),IC.REG.DURS.MA,China,CHN,8.6
Time required to start a business, male (days),IC.REG.DURS.MA,Colombia,COL,11
Time required to start a business, male (days),IC.REG.DURS.MA,Comoros,COM,16
"Time required to start a business, male (days),IC.REG.DURS.MA,""Congo, Dem. Rep."",COD,7"
"Time required to start a business, male (days),IC.REG.DURS.MA,""Congo, Rep."",COG,49"
Time required to start a business, male (days),IC.REG.DURS.MA,Costa Rica,CRI,23
Time required to start a business, male (days),IC.REG.DURS.MA,Cote d'Ivoire,CIV,6
Time required to start a business, male (days),IC.REG.DURS.MA,Croatia,HRV,22.5
Time required to start a business, male (days),IC.REG.DURS.MA,Cuba,CUB,..
Time required to start a business, male (days),IC.REG.DURS.MA,Curacao,CUW,..
Time required to start a business, male (days),IC.REG.DURS.MA,Cyprus,CYP,6
Time required to start a business, male (days),IC.REG.DURS.MA,Czech Republic,CZE,24.5
Time required to start a business, male (days),IC.REG.DURS.MA,Denmark,DNK,3.5
Time required to start a business, male (days),IC.REG.DURS.MA,Djibouti,DJI,13
Time required to start a business, male (days),IC.REG.DURS.MA,Dominica,DMA,12
Time required to start a business, male (days),IC.REG.DURS.MA,Dominican Republic,DOM,16.5
Time required to start a business, male (days),IC.REG.DURS.MA,Early-demographic dividend,EAR,31.7
Time required to start a business, male (days),IC.REG.DURS.MA,East Asia & Pacific,EAS,22.9
Time required to start a business, male (days),IC.REG.DURS.MA,East Asia & Pacific (excluding high income),EAP,30
Time required to start a business, male (days),IC.REG.DURS.MA,East Asia & Pacific (IDA & IBRD),TEA,29.9
Time required to start a business, male (days),IC.REG.DURS.MA,Ecuador,ECU,48.5
"Time required to start a business, male (days),IC.REG.DURS.MA,""Egypt, Arab Rep."",EGY,11"
Time required to start a business, male (days),IC.REG.DURS.MA,El Salvador,SLV,16.5
Time required to start a business, male (days),IC.REG.DURS.MA,Equatorial Guinea,GNQ,33
Time required to start a business, male (days),IC.REG.DURS.MA,Eritrea,ERI,84
Time required to start a business, male (days),IC.REG.DURS.MA,Estonia,EST,3.5
Time required to start a business, male (days),IC.REG.DURS.MA,Eswatini,SWZ,30
Time required to start a business, male (days),IC.REG.DURS.MA,Ethiopia,ETH,32
Time required to start a business, male (days),IC.REG.DURS.MA,Euro area,EMU,9.8
Time required to start a business, male (days),IC.REG.DURS.MA,Europe & Central Asia,ECS,11.7
Time required to start a business, male (days),IC.REG.DURS.MA,Europe & Central Asia (excluding high income),ECA,12.8
Time required to start a business, male (days),IC.REG.DURS.MA,Europe & Central Asia (IDA & IBRD),TEC,14.4
Time required to start a business, male (days),IC.REG.DURS.MA,European Union,EUU,12.5
Time required to start a business, male (days),IC.REG.DURS.MA,Faroe Islands,FRO,..
Time required to start a business, male (days),IC.REG.DURS.MA,Fiji,FJI,40
Time required to start a business, male (days),IC.REG.DURS.MA,Finland,FIN,17
Time required to start a business, male (days),IC.REG.DURS.MA,Fragile and conflict affected situations,FCS,26.2
Time required to start a business, male (days),IC.REG.DURS.MA,France,FRA,3.5
Time required to start a business, male (days),IC.REG.DURS.MA,French Polynesia,PYF,..
Time required to start a business, male (days),IC.REG.DURS.MA,Gabon,GAB,31
"Time required to start a business, male (days),IC.REG.DURS.MA,""Gambia, The"",GMB,25"
Time required to start a business, male (days),IC.REG.DURS.MA,Georgia,GEO,2
Time required to start a business, male (days),IC.REG.DURS.MA,Germany,DEU,8
Time required to start a business, male (days),IC.REG.DURS.MA,Ghana,GHA,14
Time required to start a business, male (days),IC.REG.DURS.MA,Gibraltar,GIB,..
Time required to start a business, male (days),IC.REG.DURS.MA,Greece,GRC,12.5
Time required to start a business, male (days),IC.REG.DURS.MA,Greenland,GRL,..
Time required to start a business, male (days),IC.REG.DURS.MA,Grenada,GRD,15
Time required to start a business, male (days),IC.REG.DURS.MA,Guam,GUM,..
Time required to start a business, male (days),IC.REG.DURS.MA,Guatemala,GTM,15
Time required to start a business, male (days),IC.REG.DURS.MA,Guinea,GIN,15
Time required to start a business, male (days),IC.REG.DURS.MA,Guinea-Bissau,GNB,8
Time required to start a business, male (days),IC.REG.DURS.MA,Guyana,GUY,18
Time required to start a business, male (days),IC.REG.DURS.MA,Haiti,HTI,97
Time required to start a business, male (days),IC.REG.DURS.MA,Heavily indebted poor countries (HIPC),HPC,22.2
Time required to start a business, male (days),IC.REG.DURS.MA,High income,HIC,10.9
Time required to start a business, male (days),IC.REG.DURS.MA,Honduras,HND,13
"Time required to start a business, male (days),IC.REG.DURS.MA,""Hong Kong SAR, China"",HKG,1.5"
Time required to start a business, male (days),IC.REG.DURS.MA,Hungary,HUN,7
Time required to start a business, male (days),IC.REG.DURS.MA,IBRD only,IBD,25
Time required to start a business, male (days),IC.REG.DURS.MA,Iceland,ISL,11.5
Time required to start a business, male (days),IC.REG.DURS.MA,IDA & IBRD total,IBT,23.6
Time required to start a business, male (days),IC.REG.DURS.MA,IDA blend,IDB,17.7
Time required to start a business, male (days),IC.REG.DURS.MA,IDA only,IDX,23.4
Time required to start a business, male (days),IC.REG.DURS.MA,IDA total,IDA,22.2
Time required to start a business, male (days),IC.REG.DURS.MA,India,IND,16.5
Time required to start a business, male (days),IC.REG.DURS.MA,Indonesia,IDN,19.6
"Time required to start a business, male (days),IC.REG.DURS.MA,""Iran, Islamic Rep."",IRN,72"
Time required to start a business, male (days),IC.REG.DURS.MA,Iraq,IRQ,26
Time required to start a business, male (days),IC.REG.DURS.MA,Ireland,IRL,5
Time required to start a business, male (days),IC.REG.DURS.MA,Isle of Man,IMN,..
Time required to start a business, male (days),IC.REG.DURS.MA,Israel,ISR,12
Time required to start a business, male (days),IC.REG.DURS.MA,Italy,ITA,6
Time required to start a business, male (days),IC.REG.DURS.MA,Jamaica,JAM,3
Time required to start a business, male (days),IC.REG.DURS.MA,Japan,JPN,11.2
Time required to start a business, male (days),IC.REG.DURS.MA,Jordan,JOR,12
Time required to start a business, male (days),IC.REG.DURS.MA,Kazakhstan,KAZ,5
Time required to start a business, male (days),IC.REG.DURS.MA,Kenya,KEN,23
Time required to start a business, male (days),IC.REG.DURS.MA,Kiribati,KIR,31
"Time required to start a business, male (days),IC.REG.DURS.MA,""Korea, Dem. People's Rep."",PRK,.."
"Time required to start a business, male (days),IC.REG.DURS.MA,""Korea, Rep."",KOR,4"
Time required to start a business, male (days),IC.REG.DURS.MA,Kosovo,XKX,5.5
Time required to start a business, male (days),IC.REG.DURS.MA,Kuwait,KWT,35
Time required to start a business, male (days),IC.REG.DURS.MA,Kyrgyz Republic,KGZ,10
Time required to start a business, male (days),IC.REG.DURS.MA,Lao PDR,LAO,174
Time required to start a business, male (days),IC.REG.DURS.MA,Late-demographic dividend,LTE,12
Time required to start a business, male (days),IC.REG.DURS.MA,Latin America & Caribbean,LCN,27.8
Time required to start a business, male (days),IC.REG.DURS.MA,Latin America & Caribbean (excluding high income),LAC,34.5
Time required to start a business, male (days),IC.REG.DURS.MA,Latin America & Caribbean (IDA & IBRD),TLA,29.2
Time required to start a business, male (days),IC.REG.DURS.MA,Latvia,LVA,5.5
Time required to start a business, male (days),IC.REG.DURS.MA,Least developed countries: UN classification,LDC,26.8
Time required to start a business, male (days),IC.REG.DURS.MA,Lebanon,LBN,15
Time required to start a business, male (days),IC.REG.DURS.MA,Lesotho,LSO,29
Time required to start a business, male (days),IC.REG.DURS.MA,Liberia,LBR,18
Time required to start a business, male (days),IC.REG.DURS.MA,Libya,LBY,35
Time required to start a business, male (days),IC.REG.DURS.MA,Liechtenstein,LIE,..
Time required to start a business, male (days),IC.REG.DURS.MA,Lithuania,LTU,5.5
Time required to start a business, male (days),IC.REG.DURS.MA,Low & middle income,LMY,24.2
Time required to start a business, male (days),IC.REG.DURS.MA,Low income,LIC,23.3
Time required to start a business, male (days),IC.REG.DURS.MA,Lower middle income,LMC,22.4
Time required to start a business, male (days),IC.REG.DURS.MA,Luxembourg,LUX,16.5
"Time required to start a business, male (days),IC.REG.DURS.MA,""Macao SAR, China"",MAC,.."
Time required to start a business, male (days),IC.REG.DURS.MA,Madagascar,MDG,8
Time required to start a business, male (days),IC.REG.DURS.MA,Malawi,MWI,37
Time required to start a business, male (days),IC.REG.DURS.MA,Malaysia,MYS,13
Time required to start a business, male (days),IC.REG.DURS.MA,Maldives,MDV,12
Time required to start a business, male (days),IC.REG.DURS.MA,Mali,MLI,11
Time required to start a business, male (days),IC.REG.DURS.MA,Malta,MLT,16
Time required to start a business, male (days),IC.REG.DURS.MA,Marshall Islands,MHL,17
Time required to start a business, male (days),IC.REG.DURS.MA,Mauritania,MRT,6
Time required to start a business, male (days),IC.REG.DURS.MA,Mauritius,MUS,5
Time required to start a business, male (days),IC.REG.DURS.MA,Mexico,MEX,8.4
"Time required to start a business, male (days),IC.REG.DURS.MA,""Micronesia, Fed. Sts."",FSM,16"
