nomEtude, complement1, complement2, nomPays, codePays, donnees2017
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Afghanistan,AFG,62.8
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Albania,ALB,76.5
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Algeria,DZA,75
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,American Samoa,ASM,..
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Andorra,AND,..
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Angola,AGO,58.9
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Antigua and Barbuda,ATG,73.9
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Arab World,ARB,69.7
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Argentina,ARG,72.9
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Armenia,ARM,71.4
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Aruba,ABW,73.5
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Australia,AUS,80.4
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Austria,AUT,79.3
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Azerbaijan,AZE,69
"Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,""Bahamas, The"",BHS,72.7"
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Bahrain,BHR,76.2
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Bangladesh,BGD,71.1
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Barbados,BRB,73.6
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Belarus,BLR,69.3
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Belgium,BEL,79
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Belize,BLZ,67.9
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Benin,BEN,59.6
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Bermuda,BMU,77.7
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Bhutan,BTN,70.3
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Bolivia,BOL,67
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Bosnia and Herzegovina,BIH,74.5
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Botswana,BWA,64.9
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Brazil,BRA,72.1
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,British Virgin Islands,VGB,..
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Brunei Darussalam,BRN,75.8
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Bulgaria,BGR,71.3
Life expectancy at birth, male (years),SP.DYN.LE00.MA.IN,Burkina Faso,BFA,59.9
